Authors;Scores
Reich;2.80
Garrido;2.80
Gilchuk;2.80
H.-B.;2.80
Snyder;2.80
Manolaridis;2.79
V.E.;2.79
Hoffman;2.79
Tate;2.79
Moss;2.79
Mocanu;2.79
Georgieff;2.79
Neneh;2.79
Conboy;2.79
Günther;2.79
Urban;2.79
I.V.;2.79
Sahu;2.79
Stevens;2.79
V.V.;2.78
S.-A.;2.78
Espay;2.78
Sargano;2.78
Fares;2.78
Parisi;2.78
Matosevic;2.78
Alekseeva;2.77
Gootenberg;2.77
I.F.;2.77
Guimarães;2.77
Sharif;2.77
H.G.;2.76
G.F.;2.76
Rosa;2.76
Raza;2.76
Padoy;2.76
K.G.;2.76
Graham;2.76
Maresova;2.76
Cano;2.76
Martinez-Martin;2.75
S.-B.;2.75
Chetty;2.75
Gilson;2.75
Horwitz;2.75
Akram;2.74
Shimada;2.74
Golestani;2.74
Rast;2.74
M.-J.;2.74
Bourke;2.74
Morales;2.74
Somer;2.74
Green;2.74
Jebelli;2.73
Decout;2.73
Iyer;2.73
Hosseini;2.73
Chun;2.73
Muhammad;2.73
Agostinis;2.72
Nishiyama;2.72
Mahler;2.72
Chelli;2.72
Kasten;2.72
Azkune;2.71
Maurer;2.71
Ross;2.71
Uono;2.71
Ramesh;2.71
Meyer-Schwesinger;2.71
Robertsen;2.71
Awad;2.71
Poliero;2.70
X.-X.;2.70
Dellon;2.70
De Andrade;2.70
Ankudowich;2.70
Jenkins;2.70
I.B.;2.69
Lemke;2.69
Kar;2.69
Nakase;2.69
Larsen;2.69
Acharya;2.68
Rahmani;2.68
Ke;2.68
H.-S.;2.68
Cruz;2.68
Almaslukh;2.68
Wolff;2.68
Goshvarpour;2.68
Kahana;2.68
G.H.;2.68
Z.M.;2.67
Phyo;2.67
Kan;2.67
Riaz;2.67
Loh;2.66
Maqbool;2.66
Brudno;2.66
T.-C.;2.66
Siegmund;2.66
Yue;2.66
Ciancetta;2.66
Nishimura;2.66
L.-J.;2.66
Collier;2.65
Blanc;2.65
Napolitano;2.65
I.E.;2.65
Bessa;2.65
Vancampfort;2.65
H.-L.;2.65
Bradford;2.65
Woźniak;2.65
Do;2.64
Ziegler;2.64
Caselli;2.64
Herbert;2.64
Turville;2.64
Sarcevic;2.64
Herath;2.63
Mendoza;2.63
Giri;2.63
Cerenius;2.63
Al-Rakhami;2.63
Martinelli;2.63
Schäfer;2.63
Salter;2.62
Pandya;2.62
Richoz;2.62
Glynn;2.62
Olson;2.62
Aydin;2.62
A.T.B.;2.61
McNeil;2.61
Kolekar;2.61
I.-C.;2.61
Catalanotto;2.61
A.S.A.;2.61
Zost;2.61
Khaire;2.61
Cretu;2.61
Abreu;2.60
Ullrich;2.60
Katsumata;2.60
M.A.R.;2.60
Umeda;2.60
Levin;2.60
Margalit;2.60
Martínez-Villaseñor;2.60
P.-C.;2.60
Glass;2.59
Bose;2.59
Vasconcelos;2.59
Trivedi;2.59
Douglas;2.59
Reed;2.59
Aguado;2.59
Mehrang;2.59
Jegham;2.59
McCullough;2.58
M.A.A.H.;2.58
Z.A.;2.58
P.V.;2.58
Y.T.;2.58
Deboer;2.58
Hunt;2.58
Perez-Garcia;2.57
Upadhyay;2.57
de Barbaro;2.57
